# To Value|From Value
MELISSA|LISSA
ELITA|LITIA
MCALLEN|MCCALLEN
DORIS|DOTTIE
DOROTHY|DOTTIE
DOROTHY|DOTTYE
WARTON|WHARTON
YANCY|YANCE
MCKAGUE|MCCAGUE
MCKAMEY|MCCAMEY
MICHAELSON|MICHAEL
LAURA|LOLLY
LORETTA|LORET
LAURA|LORIE
LORRAINE|LORIE
LORRAINE|LORRI
CHARLOTTE|LOTTA
CHARLOTTE|LOTTE
CHARLOTTE|LOTTI
CHARLOTTE|LOTTY
LEWIS|LOUIE
MCARTHY|MCCARTHY
MCCARTY|MCCARTHY
RHIANNON|RHIANNA
RHIANNON|RHIANNE
MACAULEY|MCCAULEY
MCAULEY|MCCAULEY
MCCALLISTER|MACALLISTER
SHRADER|SCHRADER
MACHAIN|MCCHAIN
MADISON|MADDY
MADELINE|MADGE
MARGARET|MADGE
MADELINE|MADIE
MAUDE|MADIE
MARGARET|MAGGI
MARGARET|MAGGY
MARGARET|MAGIE
MADELINE|MAIDA
MARGARET|MAMEY
MARGARET|MAMIE
MARGARET|MAMYE
AMANDA|MANDI
AMANDA|MANDY
EMANUEL|MANGO
MANUEL|MANGO
EMANUEL|MANNY
MANUEL|MANNY
TIELMAN|THIELMAN
MARK|MARCE
MARK|MARCI
MARGARET|MARGA
MARGARET|MARGE
MARGERY|MARGE
MARJORIE|MARGE
MARJORY|MARGE
MARGARETA|MARGI
MARGARETTE|MARGI
MARGARITA|MARGI
MARGARITE|MARGI
MARGHERITA|MARGI
MARGUERITA|MARGI
MARGUERITE|MARGI
MARGARET|MARGO
MARGARET|MARGY
MARGARETA|MARGY
MARGARETTA|MARGY
MARGARETTE|MARGY
MARGARITA|MARGY
MARGARITE|MARGY
MARGHERITA|MARGY
MARGUERITA|MARGY
MARGUERITE|MARGY
AMARIS|MARIS
MARGARET|MARIT
MARGARET|MARJE
MARGARET|MARJI
MARGARET|MARJY
MARJORIE|MARJY
MARJORY|MARJY
MARK|MARKI
MARK|MARKY
MARLENE|MARLA
MARSHALL|MARSH
MARGARET|MARTA
MARTINA|MARTA
MARTHA|MARTH
MARTIN|MARTI
MARTINA|MARTI
MARTIN|MARTS
MARTHA|MARTY
MARTIN|MARTY
MARY|MARYE
MATTHEW|MATHE
MATTHEW|MATHI
MATHEW|MATTH
MATTHEW|MATTH
MATHEW|MATTI
MATTHEW|MATTI
MATHEW|MATTS
MATTHEW|MATTS
MATHEW|MATTY
MATHILDA|MATTY
MATILDA|MATTY
MATTHEW|MATTY
MATHEW|MATYA
MATTHEW|MATYA
MAUREEN|MAURY
MAURICE|MAURY
MAXIMILIAN|MAXEY
MAXINE|MAXEY
MAXIMILIAN|MAXIE
MAXINE|MAXIE
MAXIMILIAN|MAXIM
MAXIMILIAN|MAXON
MAYNARD|MAYNE
CONSTANCE|CONNIELEE
LUCILLE|LUCIE
LUKE|LUCKY
LURY|LURYE
LOWELL|LUVIE
MCKAY|MCCAY
MCOY|MCCOY
MCCAN|MCHAN
MCCOY|MCKOY
MCONNELL|MCCONNELL
MCLAIN|MCCLAIN
MCLANE|MCCLANE
MACLEAN|MCCLEAN
MCLEAN|MCCLEAN
MCLEES|MCCLEES
MACLEOD|MCCLEOD
MCLEOD|MCCLEOD
MCLOUD|MCCLOUD
MCLURE|MCCLURE
IMELDA|MELDA
MEREDITH|MERRY
MINERVA|MERVA
MARGARET|METTA
MARGARET|METTE
MARGARET|METTY
EDWARD|TEDDIE
THEODORE|TEDDIE
REBECCA|REBBIE
REBECCA|REBCCA
REBECCA|REBECC
ALYCIA|LYCIA
LINDA|LYDIE
LYNDA|LYNDE
LYNDELL|LYNDE
LYNDA|LYNDI
LYNDIA|LYNDI
LINDSAY|LYNDY
LINDSEY|LYNDY
LYNDA|LYNDY
LYN|LYNEE
LYNDA|LYNEE
LYN|LYNEY
LYN|LYNIE
LYNDA|LYNNE
MARILYN|LYNNE
CALYPSO|LYPSY
ADELINE|ADELLE
MCCLAIN|MACLAIN
SEELY|SEELYE
MCOWEN|MCCOWEN
TIESSEN|THIESSEN
MICHAEL|MICKY
MICHAEL|MIKIE
MILDRED|MILLY
MILLICENT|MILLY
MELINDA|MINDY
WILHELMINA|MINNE
MIRANDA|MIRAN
MELISSA|MISSA
MICHELLE|MISSI
MELISSA|MISSY
MICHELLE|MISSY
MITCHELL|MITCH
TERESIA|THERESIA
THERESIA|THERESIA
TERESSA|THERESSA
AARON|AARIE
SHUMACKER|SCHUMACKER
ABIGAIL|ABBEY
ABIGAIL|ABBIE
REGINA|REGGIE
REGINALD|REGGIE
MCRARY|MCCRARY
MCLELLAND|MCCLELLAND
ADARA|ADDIE
ADELINE|ADDIE
ADRIAN|ADDIE
ADRIENNE|ADDIE
ATALANTA|ADDIE
MARGARET|PEGGIE
PATRICIA|PEGGIE
MARGARET|PEGGYE
MARGARET|MEDDIE
JEAN|JEANEE
JEAN|JEANEY
JEAN|JEANIE
JEANETTE|JEANNE
JEAN|JEANNY
ALPHONSO|AFFIE
RAYMOND|MONDO
MONICA|MONEE
MONICA|MONIA
MONTGOMERY|MONIE
MONTAGUE|MONTE
MONTGOMERY|MONTE
MONTGOMERY|MONTY
MAURICE|MOORE
MAURICE|MOREY
MORRIS|MORRY
MATHEW|MOTYA
MATTHEW|MOTYA
TOMAS|TOMASITO
AGATHA|AGATA
AGATE|AGGIE
AGATHA|AGGIE
AGNES|AGGIE
MARGARET|MEGGIE
MEGAN|MEGHAN
LAWRENCE|CHENCHO
VIRGIL|VERGIE
VERNON|VERNIE
VERONICA|VERONE
IRENE|RENNIE
EILEEN|AILEY
EILEEN|AILIE
JEFFREY|JEFFEY
JEFFREY|JEFFIE
JAMES|JIMMMIE
LETICIA|LEISHA
THERESA|TERISA
THERESA|TERRIE
CORNELIUS|NELIUS
PENELOPE|PENNIE
CORNELIUS|NELLIE
NELSON|NELLIE
PENELOPE|NELLIE
DEBORAH|DEBBIE
DEBORAH|DEBBYE
SIGMUND|ZIGGY
ALBERT|ALBIE
ALLEN|ALBIE
ALEXANDRA|ALEAH
ALEXANDER|ALECK
ALEXANDRA|ALEIA
ALEXANDER|ALEIX
ALEXANDRA|ALEJA
ALEXANDER|ALEJO
ALEXANDRA|ALEKA
ALEXANDER|ALEKS
ALEXANDER|ALESI
ALEXANDER|ALEXE
ALEXIS|ALEXI
ALEXANDER|ALEXS
ALEXIS|ALEXX
ALEXANDER|ALEXY
ALEXANDRA|ALEYA
ALFRED|ALFIE
ALPHONSO|ALFIE
ALICIA|ALICE
ALEXANDER|ALICK
ALEXANDER|ALIEK
THERESA|TESSIE
ALEXANDER|ALLEC
EILEEN|ALLEE
ALEXANDER|ALLEX
ALEXIS|ALLEY
ALEXANDRA|ALLIE
ALEXIS|ALLIE
ALICE|ALLIE
ALLEGRA|ALLIE
ALLISON|ALLIE
ALICIA|ALLYE
CARMELA|MELITA
ALVIN|ALVEY
ALVIN|ALVIE
ALVINA|ALVIE
ALYCIA|ALYSE
ALYSA|ALYSE
ALEXANDRA|ALYXA
ALEXANDRA|ALYZA
ALEXANDRA|ALYZE
NANCI|NANAE
NANCIE|NANAE
ANNABELLE|NANCY
ANNETTE|NANCY
FERNANDA|NANDA
FERDINAND|NANDO
NAN|NANIE
NANCI|NANIE
NANCIE|NANIE
NANCY|NANIE
NANETTE|NANIE
NAN|NANNA
NANCI|NANNA
NANCIE|NANNA
NANCY|NANNA
NANNETTE|NANNA
NANCI|NANNE
NANCIE|NANNE
NANCY|NANNE
NANNETTE|NANNE
NANCI|NANNI
NANCIE|NANNI
NANCY|NANNI
NANNETTE|NANNI
NANCI|NANNY
NANCIE|NANNY
NANCY|NANNY
NANNETTE|NANNY
NATHAN|NATTY
BEATRICE|BEATTY
CERISE|CHERISE
CHERYL|CHERRIE
CHERYL|CHERRYE
RAYMOND|MUNDO
AMY|AMIEE
PATRICIA|TRICIA
PATRICIANA|TRICIA
PATRISA|TRICIA
PATRISIA|TRICIA
CLEVELAND|LELAND
KATHERINE|TRIONA
TRISH|TRISCH
PATRICIA|TRISHA
TRISTEN|TRISTA
BEATRICE|TRIXIE
MACOMBER|MCCOMBER
MCOMBER|MCCOMBER
RODERICK|RHODERICK
ANDREW|ANDDY
ANDREW|ANDEE
FERNANDA|ANDEE
ANDREW|ANDHY
ANDREA|ANDIE
ANDREW|ANDIE
ANDREA|ANDRI
ANDREW|ANDYS
ANGELA|ANGEE
ANGELA|ANGEL
ANGELICA|ANGEL
ANGELA|ANGIE
ANGELA|ANGIL
ANDREA|ANNDI
ANNE|ANNEE
ANN|ANNEY
ANN|ANNIE
ANNABELLE|ANNIE
ANNETTE|ANNIE
BRITTANY|ANNIE
KELLY|KELLYE
REBECCA|BECCAH
REBECCA|BECKEE
REBECCA|BECKEY
REBECCA|BECKIE
REBECCA|BECKIS
CHRISTINE|CHRISSY
CHRISTINA|CHRISTI
CHRISTINE|CHRISTI
CHRISTINE|CHRISTY
LAWRENCE|LENCHO
GLENN|LENNIE
LEONARD|LENNIE
KENNETH|KENAGH
AGNES|NECHA
KENDAL|KENDOA
KENDALL|KENDOA
KENDELL|KENDOA
BENITA|NEETA
LEONARD|LEONIE
PENELOPE|NELLY
KENDAL|KENNEY
KENDALL|KENNEY
KENDELL|KENNEY
KENNETH|KENNEY
KENDALL|KENNIE
KENNARD|KENNIE
KENNETH|KENNIE
KENNETH|KENNYE
KENISHA|KENNYS
JEMIMA|JEMMIA
JEMIMA|JEMMIE
JEANETTE|NETTE
JEZEBEL|JEZELLE
MITCHELL|MYTCH
JENNIFER|JENNAE
JENNIFER|JENNAY
JENNIFER|JENNEA
JENNIFER|JENNEE
JENNIFER|JENNIE
JENNIFER|JENNYE
PRISCILLA|PRISSY
ARDEN|ARDIE
ARDITH|ARDIE
ARLENE|ARLEE
ARLAND|ARLEY
ARLAND|ARLIE
ARLENE|ARLIE
ARNOLD|ARNDT
ARNOLD|ARNEY
ARNOLD|ARNIE
MEREDITH|MEREDY
MARGARET|MERETE
ARTHUR|ARTIE
ARTIS|ARTIE
MERTON|MERTIE
BEGAY|BEGAYE
GRACE|GRACEE
GRACE|GRACEY
GRACE|GRACIE
GRACE|GRACYE
ANNETTE|NETTIE
JEANETTE|NETTIE
NATHAN|NETTIE
FRANCES|FRANCE
FRANCIS|FRANCE
FRANCES|FRANCI
FRANCES|FRANCY
FRANCIS|FRANCY
FRANK|FRANKE
FRANK|FRANKI
FRANK|FRANKY
FRANCES|FRANNE
FRANCES|FRANNI
FRANCES|FRANNY
FRANCIS|FRANNY
ATALANTA|ATLEE
BERNICE|NICIE
NICHOLAS|NICKY
NICOLE|NICKY
LETICIA|LESHIA
ATALANTA|ATTIE
NICOLE|NIKKI
MARGARET|METTIE
LESTER|LESSIE
KARIN|KERRIE
KARYN|KERRIE
DENISE|NISSE
GENEVIEVE|GENNIE
JENNIFER|GENNIE
BARBARA|BARBA
BARBARA|BARBE
BARBARA|BARBI
BARNARD|BARNY
BERNARD|BARNY
BARTHOLOMEW|BARTH
REBECA|REBBECCA
AUDREY|AUDIE
AUGUSTUS|AUGIE
LETICIA|LETHIA
GEORGE|GEOGEY
CHRISTOPHER|KESTER
JEREMY|JERRIE
JORDAN|GEORDI
JORDAN|GEORDY
GEORGIA|GEORGI
GEORGE|GEORGY
GEOVANNI|GEOVAN
DELOY|DELOYE
DELPHINE|DELPHA
DELPHINE|DELPHE
DELPHINE|DELPHI
DELORES|DELSIE
JESSE|JESSEE
JESSICA|JESSEE
JESSE|JESSEY
JESSICA|JESSEY
JESSICA|JESSIE
JESUS|JESSIE
JESSICA|JESSYE
CRYSTAL|KRISTA
CHRISTINA|KRISTI
KRISTINE|KRISTI
KRYSTAL|KRISTI
CHRISTINA|KRISTY
KRISTIN|KRISTY
KRISTINE|KRISTY
KRYSTAL|KRISTY
MARGARET|GRETJA
SCHELLMAN|SHELLMAN
FROMMER|PFROMMER
JEAN|JEANHEE
JEAN|JEANNEE
JEAN|JEANNIE
JEANETTE|JEANNIE
HERBERT|HERBER
HERBERT|HERBEY
HERBERT|HERBIE
HERMAN|HERMIE
FREDERICK|FREADY
FREDERICK|FREDDI
FREDERICK|FREDDY
FREDRICK|FREDDY
FRED|FREDIE
FREDERICK|FREDIE
FREDERIKA|FREDIE
DENNIS|DENNEY
DENISE|DENNIE
DENNIS|DENNIE
FREDERICA|FREIDA
FRED|FREIDY
FREDERICK|FREIDY
BRADLEY|BRADDY
BRADLEY|BRADEY
BRANDON|BRANDO
BRANDON|BRANNY
WAGANER|WAGGANER
FITZGERALD|GERALD
GERALDINE|GERRIE
JEREMY|GERRIE
GERTRUDE|GERTEY
GERTRUDE|GERTHY
GERTRUDE|GERTIE
MACAULEY|MACCAULEY
REBECCA|BECCA
REBECCA|BECCI
REBECCA|BECKA
REBECCA|BECKI
REBECCA|BECKY
REBECCA|BEKAH
REBECCA|BEKKA
REBECCA|BEKKI
BELICIA|BELIA
ANNABELLE|BELLA
ANNABELLE|BELLE
ARABELLA|BELLE
BELINDA|BELLE
WILLIAM|BELLY
BENEDICTA|BENEA
BENJAMIN|BENGI
BENJAMIN|BENGT
BENJAMIN|BENGY
BENJAMIN|BENJA
BENJAMIN|BENJE
BENJAMIN|BENJI
BENJAMIN|BENJY
BENEDICTA|BENNA
BENEDICT|BENNE
BENJAMIN|BENNE
BENEDICT|BENNI
BENEDICTA|BENNI
BENJAMIN|BENNI
BENEDICT|BENNY
BENJAMIN|BENNY
REBECCA|BEQUI
BRIDGET|BERET
BERLYNN|BERLA
BERNADETTE|BERNA
BERNARD|BERNE
BERNADETTE|BERNI
BERNADINE|BERNI
BERNICE|BERNI
BERNARD|BERNY
BERYL|BERRI
BERYL|BERRY
ALBERTA|BERTA
BERTHA|BERTA
BERTHA|BERTE
BERTHA|BERTH
BERTHA|BERTI
BERTINA|BERTI
ALBERT|BERTO
BERTHA|BERTY
HERBERT|BERTY
ELIZABETH|BESIE
ELIZABETH|BESSE
ELIZABETH|BESSI
ELIZABETH|BESSY
ELIZABETH|BETHE
ELIZABETH|BETHY
ELIZABETH|BETSI
ELIZABETH|BETSY
ELIZABETH|BETTE
ELIZABETH|BETTI
ELIZABETH|BETTY
ELIZABETH|BETZI
ELIZABETH|BETZY
BEVERLY|BEVIE
BEVERLY|BEVVY
JENILEE|JENELEE
GERTRUDE|TRUDIE
FERDINAND|FERDIE
FERNANDA|FERDIE
ESTHER|HETTIE
HENRIETTA|HETTIE
BENJAMIN|BENGIE
BENJAMIN|BENJIE
BENEDICT|BENNEY
BENJAMIN|BENNEY
BENEDICT|BENNIE
BENJAMIN|BENNIE
ANDREW|DREWEY
ANDREW|DREWRY
FIFER|PFIFER
NORRIS|NORIE
NORMAN|NORMY
GRIFFIN|GRIFFY
ARCHIBALD|ARCHIE
DEREK|DERRIE
FREDERICA|FRITZI
BRENDA|BRENDI
WAGENER|WAGGENER
DESIREE|DESSIE
DESTINY|DESTIN
BEDELIA|BIDDY
BRIDGET|BIDDY
WILLIAM|BILAH
WILLIAM|BILAL
WILLIAM|BILAM
WILLIAM|BILBO
WILLIAM|BILEL
WILLIAM|BILIE
WILLIAM|BILIN
WILLIAM|BILLE
WILLIAM|BILLI
WILLIAM|BILLY
WILLIAM|BILYE
VINCENT|BINKY
BENJAMIN|BINNY
MCALLISTER|MCCALLISTER
JEZEBEL|JEZELL
BERNADETTE|BERNIE
BERNARD|BERNIE
BERNICE|BERNIE
BERYL|BERRIE
BERTHA|BERTEE
BERTHA|BERTHE
BERTHA|BERTHY
ALBERTA|BERTIE
BERTHA|BERTIE
BERTRAM|BERTIE
BERTHA|BERTTY
ALEXANDRIA|DRINKA
ELIZABETH|BESSIE
ELIZABETH|BESSYE
CHRISTINE|CRISEY
CHRISTINE|CRISSY
CHRISTINE|CRISTI
CHRISTINA|CRISTY
CHRISTINE|CRISTY
CHRISTINE|CHRYSTI
ELIZABETH|BETHSY
BRIDGET|BRIDEY
ELIZABETH|BETSEY
ELIZABETH|BETSIE
ELIZABETH|BETSYE
ELIZABETH|BETTEE
ELIZABETH|BETTEY
ELIZABETH|BETTIE
ELIZABETH|BETTSY
BETTY|BETTYE
ELIZABETH|BETTYE
BRITTANY|BRITTA
BRITTANY|BRITTE
OAKLEY|OAKES
OAKLEY|OAKIE
REBECCA|BEQUITA
NICOLSON|NICHOLSON
RINEHARDT|RHINEHARDT
HELEN|HELIANA
MCCAULEY|MACAULEY
BARBARA|BOBBI
ROBERT|BOBBY
ROBERTA|BOBIE
BONITA|BONIE
BONITA|BONNE
BONITA|BONNI
BONITA|BONNY
ALEXANDRA|ALEAHYA
MCLANAHAN|MCCLANAHAN
BRONWYN|BRONIA
BRONSON|BRONNY
BRONWYN|BRONNY
WAGONER|WAGGONER
BRADLEY|BRADD
BRADLEY|BRADE
BRANDON|BRAND
BRANDY|BRAND
BRANDON|BRANN
BRANDY|BRANN
BRENDA|BRENA
BRENDA|BREND
BRIDGET|BRIDE
BRINA|BRINN
BRITTANY|BRITT
BRUCE|BRUCY
BRIANNE|BRYNN
CRYSTAL|KRYSTA
TOMLISON|THOMLISON
ACACIA|CACIA
CALANDRA|CALAN
CALYPSO|CALLY
CALVIN|CALVI
CALVIN|CALVO
CANDACE|CANDA
CANDACE|CANDI
CANDICE|CANDI
CANDIDA|CANDI
CANDACE|CANDY
CAROLINE|CAREY
CARINA|CARIN
CARLOS|CARLO
CHARLOTTE|CARLY
CARMEN|CARME
CARMELA|CARMI
CARMEN|CARMI
CAROLINE|CAROL
CAROLYN|CAROL
CAROL|CARRO
CAROLINE|CARRY
CAROLYN|CARRY
CARINA|CARYN
ACACIA|CASIA
CATHERINE|CATHE
CATHERINE|CATHI
CATHLEEN|CATHI
CATHERINE|CATHY
CATHLEEN|CATHY
KATHERINE|CATHY
BERNARD|BURNE
MEREDITH|MERIDIE
JASMINE|JAZZMIE
WILLIAM|BILLETTE
SUSAN|SUZANNE
OLIVER|OLLIE
BRUCE|BRUCEY
MARGARETA|MARGGIE
MARGARETTA|MARGGIE
MARGARETTE|MARGGIE
MARGARITA|MARGGIE
MARGARITE|MARGGIE
MARGHERITA|MARGGIE
MARGUERITA|MARGGIE
MARGUERITE|MARGGIE
MARGARET|MARGOTH
MARGARET|MARGREI
NATHANIEL|THANIEL
CECELIA|CEILA
CECELIA|CELIA
BERNICE|BERNIEE
BERNARD|BERNNIE
ANASTASIA|STACEY
ANASTASIA|STASIA
MARIA|MARICHU
SUSAN|SUZETTE
CRYSTAL|CRYSTA
CRYSTAL|CRYSTI
MARIA|MARIQUILLA
OPHELIA|OPHIE
SARA|CHARA
SARAH|CHARA
CHARLENE|CHARL
CHARLOTTE|CHARL
CHARLOTTE|CHARO
CHARLOTTE|CHARR
FRANCHESKA|CHEKA
MARIA|CHEPA
CHERYL|CHERE
CHERYL|CHERI
CHERYL|CHERY
CONCHITA|CHITA
CHRISTIAN|CHRIS
CHRISTOPHER|CHRIS
CRYSTAL|CHRIS
CHRISTINE|CHRYS
CHARLES|CHUCK
CHARLES|CHUKI
CHARLES|CHUKS
BRIANNE|BRYNNE
MCCRIGHT|MCWRIGHT
PRISCILLA|CILLA
CYNTHIA|CINDE
CYNTHIA|CINDI
CYNTHIA|CINDY
CECELIA|CISSY
ORLANDO|ORLAN
ORLANDO|ORLIE
STEPHANIE|STEFFI
STEFAN|STEIVE
STEPHAN|STEIVE
STEPHEN|STEIVE
STEVEN|STEIVE
STEPHAN|STENYA
STEPHEN|STENYA
STEVEN|STENYA
STEFAN|STEPEK
STEPHAN|STEPEK
STEPHEN|STEPEK
STEVEN|STEPEK
STEFAN|STEPHE
STEPHAN|STEPHE
STEPHEN|STEPHE
STEVEN|STEPHE
STEFAN|STEPIK
STEPHAN|STEPIK
STEPHEN|STEPIK
STEVEN|STEPIK
STEFAN|STEPKA
STEPHAN|STEPKA
STEPHEN|STEPKA
STEVEN|STEPKA
STEFAN|STEVER
STEPHAN|STEVER
STEPHEN|STEVER
STEVEN|STEVER
STEFAN|STEVES
STEPHAN|STEVES
STEPHEN|STEVES
STEVEN|STEVES
STEFAN|STEVEY
STEPHAN|STEVEY
STEPHEN|STEVEY
STEVEN|STEVEY
STEFAN|STEVIE
STEPHAN|STEVIE
STEPHANIE|STEVIE
STEPHEN|STEVIE
STEVEN|STEVIE
OSCAR|OSSIE
MARGARET|MARIGUITA
BERTHA|BERTTIE
OTTO|OTTIE
ASTON|ASHTON
CLARENCE|CLARE
CLAUDIA|CLAUD
CLETUS|CLETE
CLIFFORD|CLIFF
CLIFTON|CLIFF
CLIFFORD|CLIFT
CLIFTON|CLIFT
CLINTON|CLINT
PATRICIA|PADDY
PATRICK|PADDY
PAUL|PALKO
PAMELA|PAMMI
PAMELA|PAMMY
PAUL|PANYA
PAUL|PASHA
PATRICIA|PATEI
PATRICIA|PATIE
PATRICIA|PATRA
PATRIA|PATRI
PATRICE|PATRI
PATRICIA|PATSI
PATRICIA|PATSY
PATRICK|PATSY
PATRICIA|PATTE
PATIENCE|PATTI
PATRICE|PATTI
PATRICIA|PATTI
PATIENCE|PATTY
PATRICE|PATTY
PATRICIA|PATTY
PATRICIA|PATZI
PATRICIA|PATZY
PAUL|PAULI
PAULA|PAULI
PAUL|PAULY
SHUMAKER|SCHUMAKER
AGATHA|AGATHE
AGATHA|AGATHI
SANDRA|SHANDI
SANDRA|SHANDY
SHARON|SHAREY
SHARON|SHARIE
SHARON|SHARRI
SHARON|SHARRY
SHAWNA|SHAWNE
COCA|COCCA
COCO|COCCO
COLLEEN|COLEE
CONSTANCE|CONIE
CONSTANCE|CONNE
CONSTANCE|CONNI
CONSTANCE|CONNY
CORNELIUS|CONNY
CONSTANCE|CONZY
CORBETT|CORBY
CORNELIA|CORNY
CONSTANTINE|COSTA
RAMES|RHAMES
MARGARET|PEGGE
MARGARET|PEGGI
MARGARET|PEGGY
PATRICIA|PEGGY
PENELOPE|PENNY
JOSEPH|PEPPE
PERCIVAL|PERCE
PERCIVAL|PERCY
PEARL|PERRY
TEALL|THEALL
OSBORN|OZZIE
OSWALD|OZZIE
CHRISTINE|CRISS
CHRISTIAN|CRIST
SANDRA|SHANDICE
CECELIA|SHEILA
MICHELLE|SHELLE
SHELLEY|SHELLE
SHELLY|SHELLE
MICHELLE|SHELLI
MICHELLE|SHELLY
SHERMAN|SHERMY
SHARON|SHERRI
CHERYL|SHERRY
SHARON|SHERRY
PHILIP|PHILL
PHILIP|PHILY
ALEXANDER|ALEXSEY
REOME|RHEOME
ESTER|ESTHER
NGUYN|NGUYEN
DAMITA|DAMEE
DAMICA|DAMIE
DANIEL|DANIE
DANIEL|DANNE
DANIEL|DANNI
DANIEL|DANNY
DANIELLE|DANNY
DANIEL|DANYE
DANIEL|DANYI
DARLENE|DARLA
DARLENE|DARLY
DARLENE|DARRA
DAVID|DAVEY
DAVID|DAVIE
DAWN|DAWNY
CURTIS|CURTE
PATRICIA|THISHA
SHULMAN|SCHULMAN
RINES|RHINES
MACLELLAN|MCCLELLAN
MCLELLAN|MCCLELLAN
DEAN|DEANO
DEBRA|DEBAH
DEBORAH|DEBBE
DEBORAH|DEBBI
DEBORAH|DEBBY
DEBORAH|DEBIE
DEXTER|DECCA
DEXTER|DECKA
DEXTER|DEKKA
DENISE|DENEE
DENISE|DENEY
DENISE|DENIE
DENNIS|DENNE
DENISE|DENNI
DENNIS|DENNI
DENISE|DENNY
DENNIS|DENNY
DEREK|DEREE
DEREK|DERRY
DESIREE|DESSA
DESTINY|DESTA
DESTINY|DESTY
CYNTHIA|CYNDE
CYNTHIA|CYNDI
CYNTHIA|CYNDY
MARGARET|POLLY
MACLENNAN|MCCLENNAN
MCLENNAN|MCCLENNAN
MCLENNON|MCCLENNON
SANDRA|SHANDIA
SANDRA|SHANDIE
SHANNON|SHANNIE
THOMASON|THOMAS
THOMAS|THOMMY
KATHERINE|CATOCHA
CHARLES|CHUCKIE
CHARLENE|CHARLAYE
RICHARD|DICKI
RICHARD|DICKY
MONTANE|MONTANYE
DILLON|DILLY
SUSANA|SHOSHI
SUSANNA|SHOSHI
SUSANNAH|SHOSHI
SUSANA|SHOSHY
SUSANNA|SHOSHY
SUSANNAH|SHOSHY
DENISE|DINNY
DEAN|DINOS
MCRIGHT|MCCRIGHT
ROADS|RHOADS
RODEN|RHODEN
RODES|RHODES
RONDA|RHONDA
ROTEN|RHOTEN
ROTON|RHOTON
RALPH|RALPHIE
JACQUELINE|JACQUEE
JACQUELINE|JACQUIE
ELIZABETH|BESSSIE
SHARON|SHARREY
SHARON|SHARRIE
CHARLENE|CHARLA
CHARLENE|CHARLE
CHARLOTTE|CHARLE
CHARLES|CHARLI
CHARLOTTE|CHARLI
CHARLOTTE|CHARLO
CHARLES|CHARLY
CHARLOTTE|CHARLY
CHARLOTTE|CHARRA
CHARLOTTE|CHARRI
PAUL|PUSHA
VICTORIA|VICKEY
VICTORIA|VICKIE
KATHERINE|CATUCHA
THOMAS|THOMMIE
TOMSEN|THOMSEN
TOMSON|THOMSON
PAUL|PAWELEK
DOROTHY|DODIE
DOROTHY|DOLLY
RANDOLPH|DOLPH
RUDOLPH|DOLPH
DONALD|DONEE
DONALD|DONEY
DONALD|DONIE
DONALD|DONNE
DONALD|DONNI
DONALD|DONNY
DOREEN|DORIE
DORIS|DORRI
DORIS|DORRY
DOROTHY|DOTTA
DOROTHY|DOTTE
DOROTHY|DOTTI
DORIS|DOTTY
DOROTHY|DOTTY
DOUGLAS|DOUGE
MICHELLE|CHELLE
JUAN|JUANNY
CHERYL|CHEREE
CHERYL|CHERIE
CHERYL|CHERRE
CHERYL|CHERRI
CHERYL|CHERRY
SANDRA|SANDRIE
SYBIL|SIBBIE
RHIANNON|RIANNA
SEBASTIAN|BASTIAN
CLIFFORD|CLIFFER
CLIFFORD|CLIFFIE
CHIQUITA|CHICKIE
ERIC|RICCIE
RICHARD|RICHEE
RICHARD|RICHEY
RICHARDO|RICHEY
RICHARD|RICHIE
RICHARDO|RICHIE
RICHARD|RICKEE
RICHARD|RICKEY
RICK|RICKEY
RICHARD|RICKIE
RICK|RICKIE
ANDREW|DREUX
ANDREW|DRUEY
ANDREW|DRUIE
DRUSILLA|DRUSI
JUDITH|JUDDIE
JUDITH|JUDDYE
CHIQUITA|CHICKY
SHONBERG|SCHONBERG
RYMER|RHYMER
RYMES|RHYMES
RYNER|RHYNER
RYNES|RHYNES
DUSTINE|DUSTI
DUSTIN|DUSTY
DUSTINE|DUSTY
WILLIAM|WILLEE
WILFRED|WILLIE
WILLARD|WILLIE
WILLIAM|WILLIE
WILLIAM|WILLYE
NICOLE|NICKIE
ELIZABETH|LIBBIE
MICHAEL|MICKEY
MICHAEL|MICKIE
CHRISTINE|CRISSIE
CHRISTINA|CRISTIE
CHRISTINE|CRISTIE
HERBERT|HUGHEY
HERBERT|HUGHIE
WILHELMINA|WINNIE
WINIFRED|WINNIE
WINONA|WINNIE
EDWARD|EDDEY
EDMUND|EDDIE
EDWARD|EDDIE
EDWIN|EDDIE
EDYTHE|EDDIE
EDWARD|EDDYE
EDWARD|EDDYS
SUSAN|SUSKIE
SUSAN|SUSSIE
SUSANA|SUSSIE
SUSANNA|SUSSIE
SUSANNAH|SUSSIE
SUZETTE|SUSSIE
WASHER|WASCHER
VINCENT|VINNIE
MATHILDA|TILLIE
MATILDA|TILLIE
THEODORA|TILLIE
MATHILDA|TILLIS
MATILDA|TILLIS
TIMOTHY|TIMMEY
TIMOTHY|TIMMIE
TIMOTHY|TIMOTH
MCCLELLAN|MACLELLAN
SHOENBERGER|SCHOENBERGER
RUTH|RUTHIE
GUINEVERE|GUINNA
BUSHMAN|BUSCHMAN
SIMON|SIMMIE
SIMONE|SIMMIE
KENISHA|KIESHA
GIOVANNI|GIANNI
